duid,alpha_mc,beta_mc,type,station,fuel_type,schedule_type,region
JLA03,62.2480048894077,0.98722339172144,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,62.2480048894077,0.98722339172144,Gen,Jeeralang A,Gas,Scheduled,VIC
JLB01,62.2480048894077,0.98722339172144,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,62.2480048894077,0.98722339172144,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB03,62.2480048894077,0.98722339172144,Gen,Jeeralang B,Gas,Scheduled,VIC
KARSF1,26.3686707693693,0.717856471034363,Gen,Karadoc Solar Farm,Solar,Semi-scheduled,VIC
KIATAWF1,22.600369475873,0.752069417178481,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
LAVNORTH,31.2967152239598,0.991370207032961,Gen,Laverton,Gas,Scheduled,VIC
LNGS1,31.5501730051048,0.991195314522929,Gen,Laverton,Gas,Scheduled,VIC
LNGS2,31.5501730051048,0.991195314522929,Gen,Laverton,Gas,Scheduled,VIC
LOYYB1,0.610350060688008,0.999033315608951,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,0.610350060688008,0.999033315608951,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MACARTH1,-3.19579561439264,0.99841909680061,Gen,Macarthur Wind Farm,Wind,Semi-scheduled,VIC
MCKAY1,43.8170586039092,0.537842153061183,Gen,McKay,Hydro,Scheduled,VIC
MERCER01,22.2241051800262,0.757493164764526,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MORTLK11,26.8011595737312,0.989001884051621,Gen,Mortlake,Gas,Scheduled,VIC
MORTLK12,26.8011595737312,0.989001884051621,Gen,Mortlake,Gas,Scheduled,VIC
MTGELWF1,0.746398119799516,0.999298089213375,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MURRAY,70.1501677472586,0.222577824685377,Gen,Murray,Hydro,Scheduled,VIC
MUWAWF1,0.936369622090603,0.969437406209075,Gen,Murra Warra Wind Farm,Wind,Semi-scheduled,VIC
NPS,18.661681220147,0.993467901664782,Gen,Newport,Gas,Scheduled,VIC
NUMURSF1,1.8705210842224,0.987743046455931,Gen,Numurkah Solar Farm,Solar,Semi-scheduled,VIC
OAKLAND1,26.6338192442766,0.715613364270242,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
SALTCRK1,23.8097733230906,0.757864041408399,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
VPGS,56.2818408667843,0.987963770888532,Gen,Valley Power,Gas,Scheduled,VIC
VPGS1,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS2,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS3,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS4,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS5,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
WEMENSF1,25.6149349247755,0.744309573628657,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
WKIEWA1,66.5430341054732,0.263766788611651,Gen,West Kiewa,Hydro,Scheduled,VIC
WKIEWA2,66.5430341054732,0.263766788611651,Gen,West Kiewa,Hydro,Scheduled,VIC
