duid,alpha,beta,type,station,fuel_type,schedule_type,region
SNOWTWN1,-185.406210082853,2.57506222852778,Gen,Snowtown Wind Farm,Wind,Semi-scheduled,SA
SNUG1,13.155396305971,0.743057382860039,Gen,Snuggery,Liquid Fuel,Scheduled,SA
STAN-1,-179.284274011128,2.81195109156217,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-2,-148.470382586967,2.51095408069621,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-3,-148.43636846722,2.51070822222348,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-4,-148.452672419341,2.51059312732832,Gen,Stanwell,Black Coal,Scheduled,QLD
STWF1,-4.49401725022267,0.872498937785353,Gen,Silverton Wind Farm,Wind,Semi-scheduled,NSW
SWAN_E,28.4528379692753,0.6152714786985,Gen,Swanbank,Gas,Scheduled,QLD
TARALGA1,48.192787485595,0.524267359897457,Gen,Taralga Wind Farm,Wind,Semi-scheduled,NSW
TARONG#1,37.2339208613776,0.482418587058343,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#2,40.7455059441445,0.447411145266028,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#4,36.5619072972206,0.488030346455548,Gen,Tarong,Black Coal,Scheduled,QLD
TARRALEA,59.6279298749245,0.443511700711397,Gen,Tarraleah,Hydro,Scheduled,TAS
TNPS1,37.7056378034227,0.469117310147103,Gen,Tarong North,Black Coal,Scheduled,QLD
TORRB2,22.773648323991,0.890178392186347,Gen,Torrens Island,Gas,Scheduled,SA
TORRB3,34.571727412357,0.769439673054,Gen,Torrens Island,Gas,Scheduled,SA
TREVALLN,69.1759648497158,0.377904768065044,Gen,Trevallyn,Hydro,Scheduled,TAS
TUNGATIN,58.9027123469756,0.443472918055394,Gen,Tungatinah,Hydro,Scheduled,TAS
VP5,38.0056682469568,0.610444735480872,Gen,Vales Point B,Black Coal,Scheduled,NSW
VP6,50.3753552115933,0.478957191579932,Gen,Vales Point B,Black Coal,Scheduled,NSW
WATERLWF,-173.057917780474,2.46230943678665,Gen,Waterloo Wind Farm,Wind,Semi-scheduled,SA
WGWF1,-180.453368675584,2.48292200052561,Gen,Willogoleche Wind Farm,Wind,Semi-scheduled,SA
WOODLWN1,47.4570026402045,0.528291205604609,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW
WRWF1,48.8048273202353,0.495912956760217,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW
YARWUN_1,41.3481281656332,0.447079659685692,Gen,Yarwun,Gas,Scheduled,QLD
YWPS1,37.5065752082215,0.799604881776357,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS2,22.2886515218861,0.969009184333215,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS4,51.7904402301282,0.629492480302142,Gen,Yallourn W,Brown Coal,Scheduled,VIC
CROOKWF2,48.3297064317083,0.524576084897934,Gen,Crookwell 2 Wind Farm,Wind,Semi-scheduled,NSW
HPRL1,5.96106553432593,0.853767105189141,Load,Hornsdale Power Reserve,Battery (Charge),Scheduled,SA
SHPUMP,58.5997584496464,0.178745173777337,Load,Shoalhaven,Pumped Hydro (Pumping),Scheduled,NSW
DALNTH01,18.7797031474904,0.911230696956368,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA
HPRG1,18.3989380329858,0.863210832030832,Gen,Hornsdale Power Reserve,Battery (Discharge),Scheduled,SA
MACKAYGT,-110.066534324365,2.10833000337729,Gen,Mackay,Liquid Fuel,Scheduled,QLD
SNOWYP,36.5607217486908,0.502975238349531,Load,Tumut 3,Pumped Hydro (Pumping),Scheduled,NSW
GUNNING1,43.2733881365716,0.566662490744829,Gen,Gunning Wind Farm,Wind,Semi-scheduled,NSW
JBUTTERS,57.7113336366442,0.350913455728775,Gen,John Butters,Hydro,Scheduled,TAS
PARSF1,56.1953048315673,0.445157989771959,Gen,Parkes Solar Farm,Solar,Semi-scheduled,NSW
PUMP2,34.749580244855,0.303375138555609,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
WRSF1,59.1949192818399,0.344485639845465,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW
GANNSF1,9.25740728895693,0.977552727257862,Gen,Gannawarra Solar Farm,Solar,Semi-scheduled,VIC
MANSLR1,56.9602452875703,0.420513431662062,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW
MOREESF1,55.9588861030324,0.421279497879299,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW
BANN1,-17.3409334984358,0.999424921462594,Gen,Bannerton Solar Park,Solar,Semi-scheduled,VIC
KARSF1,19.1277316219284,0.963251696094753,Gen,Karadoc Solar Farm,Solar,Semi-scheduled,VIC
GULLRSF1,57.1584322296454,0.425151989845035,Gen,Gullen Solar Farm,Solar,Semi-scheduled,NSW
DDSF1,42.1009911190729,0.371180733523885,Gen,Darling Downs Solar Farm,Solar,Semi-scheduled,QLD
WEMENSF1,19.2732644869502,0.863967331300083,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
COLEASF1,-131.143380556969,1.49467274733097,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW
NYNGAN1,57.0501062880503,0.423797649140935,Gen,Nyngan Solar Plant,Solar,Semi-scheduled,NSW
BNGSF1,-21.978806048199,1.12398435843178,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA
EMERASF1,-189.001192996856,2.89334874161328,Gen,Emerald Solar Park,Solar,Semi-scheduled,QLD
BROKENH1,-61.9759786549241,1.65369908606716,Gen,Broken Hill Solar Plant,Solar,Semi-scheduled,NSW
CLARESF1,-187.563988485187,3.08164168985679,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD
KSP1,-94.3371784101854,1.88692282043534,Gen,Kidston Solar Stage 1,Solar,Semi-scheduled,QLD
