duid,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region
LYA4,208292.52818,197590.358370116,206924.92925,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MACARTH1,214464.18407,198274.161318332,206924.92925,193584.467538,177394.444786333,185916.339906,Gen,Macarthur Wind Farm,Wind,Semi-scheduled,VIC
MACKAYGT,135747.14541,4931.20898801178,115495.10944,128061.506323,-13571.5054218963,105246.192707,Gen,Mackay,Liquid Fuel,Scheduled,QLD
MACKNTSH,299073.43332,278770.60778085,293943.94213,270152.120092,249849.29455285,264590.034752,Gen,Mackintosh,Hydro,Scheduled,TAS
MANSLR1,99367.29611,99152.63289,99692.23835,88410.597578,88195.934358,88703.045594,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW
MCKAY1,163309.46684,148858.760481159,206924.92925,147262.478095,132811.771736159,185916.339906,Gen,McKay,Hydro,Scheduled,VIC
MEADOWBK,318069.40206,296428.216355212,293943.94213,287341.062499,265699.141539497,264590.034752,Gen,Meadowbank,Hydro,Scheduled,TAS
MERCER01,219220.4711,197954.580606953,206924.92925,198433.869384,177067.709880606,185916.339906,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MEWF1,176285.51343,72492.8234084488,115495.10944,168728.925377,64661.0818174488,105246.192707,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD
MINTARO,316518.19137,171073.33221115,303604.65897,294663.590991,149145.514317284,282293.884433,Gen,Mintaro,Gas,Scheduled,SA
MM3,99692.23835,94185.6899222778,99692.23835,88703.045594,83196.4971662779,88703.045594,Gen,Munmorah,Black Coal,Scheduled,NSW
MM4,99692.23835,94185.6899222778,99692.23835,88703.045594,83196.4971662779,88703.045594,Gen,Munmorah,Black Coal,Scheduled,NSW
MOR1,206924.92925,197433.525073257,206924.92925,185916.339906,176424.935729257,185916.339906,Gen,Energy Brix,Brown Coal,Scheduled,VIC
MOR2,206924.92925,197433.525073257,206924.92925,185916.339906,176424.935729257,185916.339906,Gen,Energy Brix,Brown Coal,Scheduled,VIC
MOR3,206924.92925,197433.525073257,206924.92925,185916.339906,176424.935729257,185916.339906,Gen,Energy Brix,Brown Coal,Scheduled,VIC
MOREESF1,106028.83523,100481.92962,99692.23835,94973.61616,89426.71055,88703.045594,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW
MORTLK11,212576.14651,163516.36875974,206924.92925,192217.21786,143144.011318158,185916.339906,Gen,Mortlake,Gas,Scheduled,VIC
MORTLK12,212576.14651,163516.36875974,206924.92925,192217.21786,143144.011318158,185916.339906,Gen,Mortlake,Gas,Scheduled,VIC
MP1,99376.89409,90928.0214609523,99692.23835,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,99376.89409,90928.0214609523,99692.23835,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW
MPP_1,100819.89664,77918.9130025271,115495.10944,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD
MPP_2,100819.89664,77918.9130025271,115495.10944,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD
MSTUART1,135749.24724,5157.27139482948,115495.10944,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART2,135749.24724,5157.27139482948,115495.10944,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART3,135749.24724,5157.27139482948,115495.10944,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MTGELWF1,208874.49123,199313.764711804,206924.92925,187806.281717,178245.555198804,185916.339906,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
