duid,alpha,beta,type,station,fuel_type,schedule_type,region
SNOWNTH1,-76.822031610163,1.01480388879928,Gen,Snowtown North Wind Farm,Wind,Semi-scheduled,SA
SNOWSTH1,-76.822031610163,1.01480388879928,Gen,Snowtown South Wind Farm,Wind,Semi-scheduled,SA
SNOWTWN1,-81.7672101914752,1.01565604657203,Gen,Snowtown Wind Farm,Wind,Semi-scheduled,SA
SNUG1,-7.01489323435689,0.853878077743813,Gen,Snuggery,Liquid Fuel,Scheduled,SA
TBSF1,-58.431080201126,0.990794175637451,Gen,Tailem Bend Solar Project 1,Solar,Semi-scheduled,SA
TORRA1,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
TORRA2,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
TORRA3,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
TORRA4,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
TORRB1,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
TORRB2,-0.0506134780823521,1.00001596959709,Gen,Torrens Island,Gas,Scheduled,SA
TORRB3,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
TORRB4,3.17431803167138e-11,0.999999999999679,Gen,Torrens Island,Gas,Scheduled,SA
WATERLWF,-83.7507282849833,1.01581016148606,Gen,Waterloo Wind Farm,Wind,Semi-scheduled,SA
WGWF1,-88.3235616589361,1.01698990418816,Gen,Willogoleche Wind Farm,Wind,Semi-scheduled,SA
BASTYAN,12.6460288963951,0.847040584946781,Gen,Bastyan,Hydro,Scheduled,TAS
BBTHREE1,0.0384947068565924,0.999970824255866,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE2,0.0384947068565924,0.999970824255866,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE3,0.0384947068565924,0.999970824255866,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
CETHANA,13.1557823789348,0.851267473314011,Gen,Cethana,Hydro,Scheduled,TAS
CTHLWF1,2.91736545858805e-13,0.999999999999997,Gen,Cattle Hill Wind Farm,Wind,Semi-scheduled,TAS
DEVILS_G,17.6517719742713,0.861586584180419,Gen,Devils Gate,Hydro,Scheduled,TAS
FISHER,13.1557823789348,0.851267473314011,Gen,Fisher,Hydro,Scheduled,TAS
GORDON,24.4636429963543,0.738533345503964,Gen,Gordon,Hydro,Scheduled,TAS
GRANWF1,-0.0428819845788183,0.999983601351475,Gen,Granville Harbour Wind Farm,Wind,Semi-scheduled,TAS
JBUTTERS,12.5821323124366,0.847046138086017,Gen,John Butters,Hydro,Scheduled,TAS
LEM_WIL,13.1557823789348,0.851267473314011,Gen,Lemonthyme,Hydro,Scheduled,TAS
LI_WY_CA,21.9966299981949,0.765401611418247,Gen,Liapootah Wayatinah Catagunya Aggregate,Hydro,Scheduled,TAS
LK_ECHO,25.2092816270315,0.707591013380541,Gen,Lake Echo,Hydro,Scheduled,TAS
MACKNTSH,12.3758245368482,0.845195513266787,Gen,Mackintosh,Hydro,Scheduled,TAS
MEADOWBK,25.6300781220758,0.710908524379919,Gen,Meadowbank,Hydro,Scheduled,TAS
MUSSELR1,-17.7121486791377,0.77031243760899,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
POAT110,13.4696244184215,0.854594677222912,Gen,Poatina,Hydro,Scheduled,TAS
POAT220,12.9780147349175,0.858165406121949,Gen,Poatina,Hydro,Scheduled,TAS
REECE1,12.3679231108798,0.844944775000073,Gen,Reece,Hydro,Scheduled,TAS
REECE2,12.723579015361,0.847382809558804,Gen,Reece,Hydro,Scheduled,TAS
TARRALEA,25.315447522725,0.708347217306665,Gen,Tarraleah,Hydro,Scheduled,TAS
TREVALLN,12.9925177856407,0.858372548326593,Gen,Trevallyn,Hydro,Scheduled,TAS
TRIBUTE,12.5477124562051,0.845488948073492,Gen,Tribute,Hydro,Scheduled,TAS
TUNGATIN,25.315447522725,0.708347217306665,Gen,Tungatinah,Hydro,Scheduled,TAS
